symbol	hgncId	ncbiGeneId	ensemblGeneId
FABP2	HGNC:3556	2169	ENSG00000145384
FABP3	HGNC:3557	2170	ENSG00000121769
FABP4	HGNC:3559	2167	ENSG00000170323
FABP5	HGNC:3560	2171	ENSG00000164687
FABP6	HGNC:3561	2172	ENSG00000170231
FABP7	HGNC:3562	2173	ENSG00000164434
FABP9	HGNC:3563	646480	ENSG00000205186
FABP12	HGNC:34524	646486	ENSG00000197416
FADS1	HGNC:3574	3992	ENSG00000149485
FADS2	HGNC:3575	9415	ENSG00000134824
FADS3	HGNC:3576	3995	ENSG00000221968
FADS6	HGNC:30459	283985	ENSG00000172782
FAF1	HGNC:3578	11124	ENSG00000185104
FAF2	HGNC:24666	23197	ENSG00000113194
FAHD1	HGNC:14169	81889	ENSG00000180185
FAHD2A	HGNC:24252	51011	ENSG00000115042
FAHD2B	HGNC:25318	151313	ENSG00000144199
FAIM	HGNC:18703	55179	ENSG00000158234
FAIM2	HGNC:17067	23017	ENSG00000135472
FAM3A	HGNC:13749	60343	ENSG00000071889
FAM3B	HGNC:1253	54097	ENSG00000183844
FAM3C	HGNC:18664	10447	ENSG00000196937
FAM3D	HGNC:18665	131177	ENSG00000198643
FAM8A1	HGNC:16372	51439	ENSG00000137414
FAM9A	HGNC:18403	171482	ENSG00000183304
FAM9B	HGNC:18404	171483	ENSG00000177138
FAM9C	HGNC:18405	171484	ENSG00000187268
FAM13B	HGNC:1335	51306	ENSG00000031003
FAM13C	HGNC:19371	220965	ENSG00000148541
FAM24A	HGNC:23470	118670	ENSG00000203795
FAM24B	HGNC:23475	196792	ENSG00000213185
FAM25A	HGNC:23436	643161	ENSG00000188100
FAM25C	HGNC:23586	644054	ENSG00000276430
FAM25G	HGNC:23590	100133093	ENSG00000189090
FAM32A	HGNC:24563	26017	ENSG00000105058
FAM43A	HGNC:26888	131583	ENSG00000185112
FAM43B	HGNC:31791	163933	ENSG00000183114
FAM47A	HGNC:29962	158724	ENSG00000185448
FAM47B	HGNC:26659	170062	ENSG00000189132
FAM47C	HGNC:25301	442444	ENSG00000198173
FAM47E	HGNC:34343	100129583	ENSG00000189157
FAM50B	HGNC:18789	26240	ENSG00000145945
FAM53A	HGNC:31860	152877	ENSG00000174137
FAM53B	HGNC:28968	9679	ENSG00000189319
FAM53C	HGNC:1336	51307	ENSG00000120709
FAM72A	HGNC:24044	729533	ENSG00000196550
FAM72B	HGNC:24805	653820	ENSG00000188610
FAM72C	HGNC:30602	554282	ENSG00000263513
FAM72D	HGNC:33593	728833	ENSG00000215784
FAM76A	HGNC:28530	199870	ENSG00000009780
FAM76B	HGNC:28492	143684	ENSG00000077458
FAM78A	HGNC:25465	286336	ENSG00000126882
FAM78B	HGNC:13495	149297	ENSG00000188859
FAM81A	HGNC:28379	145773	ENSG00000157470
FAM81B	HGNC:26335	153643	ENSG00000153347
FAM86B1	HGNC:28268	85002	ENSG00000186523
FAM86B2	HGNC:32222	653333	ENSG00000145002
FAM89A	HGNC:25057	375061	ENSG00000182118
FAM89B	HGNC:16708	23625	ENSG00000176973
FAM90A1	HGNC:25526	55138	ENSG00000171847
FAM90A3	HGNC:32251	389611	ENSG00000233132
FAM90A5	HGNC:32253	441315	ENSG00000215373
FAM90A7	HGNC:32255	441317	ENSG00000285975
FAM90A8	HGNC:32256	441324	ENSG00000285937
FAM90A9	HGNC:32257	441327	ENSG00000285607
FAM90A10	HGNC:32258	441328	ENSG00000285950
FAM90A11	HGNC:32259	441331	ENSG00000233115
FAM90A12	HGNC:32260	645879	ENSG00000254229
FAM90A13	HGNC:32261	441314	ENSG00000223885
FAM90A14	HGNC:32262	645651	ENSG00000285814
FAM90A15	HGNC:32263	389630	ENSG00000230045
FAM90A16	HGNC:32264	441323	ENSG00000285620
FAM90A17	HGNC:32265	728746	ENSG00000285720
FAM90A18	HGNC:32266	441326	ENSG00000285913
FAM90A19	HGNC:32267	728753	ENSG00000285657
FAM90A20	HGNC:32268	728430	ENSG00000233295
FAM90A22	HGNC:32270	645558	ENSG00000285687
FAM90A23	HGNC:32271	645572	ENSG00000285765
FAM90A24	HGNC:32272	441332	ENSG00000215354
FAM90A26	HGNC:43746	100287045	ENSG00000229924
FAM91A1	HGNC:26306	157769	ENSG00000176853
FAM98A	HGNC:24520	25940	ENSG00000119812
FAM98B	HGNC:26773	283742	ENSG00000171262
FAM98C	HGNC:27119	147965	ENSG00000130244
